key,module,page,component,slot,text,notes,status
dashboard.core_index.expand_label,dashboard,DashboardPage,UsagePanel,toggle,"▸",,active
dashboard.core_index.collapse_aria,dashboard,DashboardPage,UsagePanel,toggle_aria,"折叠模型分解",,active
dashboard.core_index.expand_aria,dashboard,DashboardPage,UsagePanel,toggle_aria,"展开模型细分",,active
usage.summary.total,ui,UsagePanel,UsagePanel,summary_label_total,"Token 总数",,active
usage.summary.toggle_aria,ui,DashboardPage,UsageOverview,summary_toggle_aria,"切换紧凑数字格式",,active
usage.metric.total,ui,UsagePanel,UsagePanel,metric_total,"总计",,active
usage.metric.input,ui,UsagePanel,UsagePanel,metric_input,"输入",,active
usage.metric.output,ui,UsagePanel,UsagePanel,metric_output,"输出",,active
usage.metric.cached_input,ui,UsagePanel,UsagePanel,metric_cached_input,"缓存输入",,active
usage.metric.reasoning_output,ui,UsagePanel,UsagePanel,metric_reasoning_output,"推理输出",,active
usage.button.refresh,ui,UsagePanel,UsagePanel,button_refresh,"刷新",,active
dashboard.rolling.title,ui,RollingUsagePanel,RollingUsagePanel,title,"最近的活动",,active
dashboard.rolling.last_7d,ui,RollingUsagePanel,RollingUsagePanel,label_last_7d,"过去 7 天",,active
dashboard.rolling.last_30d,ui,RollingUsagePanel,RollingUsagePanel,label_last_30d,"过去 30 天",,active
dashboard.rolling.avg_active_day,ui,RollingUsagePanel,RollingUsagePanel,label_avg_active_day,"日平均",,active
dashboard.projects.title,ui,DataDetails,DataDetails,title,"项目用量",,active
dashboard.projects.limit_aria,ui,DataDetails,DataDetails,limit_aria,"选择项目显示数量",,active
dashboard.projects.limit_top_3,ui,DataDetails,DataDetails,limit_top_3,"前 3 名",,active
dashboard.projects.limit_top_6,ui,DataDetails,DataDetails,limit_top_6,"前 6 名",,active
dashboard.projects.limit_top_10,ui,DataDetails,DataDetails,limit_top_10,"前 10 名",,active
dashboard.projects.empty,ui,DataDetails,DataDetails,empty,"暂无项目用量。在 git 仓库内使用受支持的 CLI，用量就会归属到对应项目。",,active
dashboard.projects.sources_more,ui,DataDetails,DataDetails,sources_more,"+{{n}}",,active
dashboard.projects.detail.badge,ui,DataDetails,ProjectDetailModal,badge,"项目",,active
dashboard.projects.detail.close_aria,ui,DataDetails,ProjectDetailModal,close_aria,"关闭项目详情",,active
dashboard.projects.detail.error,ui,DataDetails,ProjectDetailModal,error,"项目详情加载失败",,active
dashboard.projects.detail.empty_range,ui,DataDetails,ProjectDetailModal,empty_range,"所选时间范围内没有用量",,active
dashboard.projects.detail.stat_total,ui,DataDetails,ProjectDetailModal,stat_total,"Token 总量",,active
dashboard.projects.detail.stat_conversations,ui,DataDetails,ProjectDetailModal,stat_conversations,"对话数",,active
dashboard.projects.detail.stat_active_days,ui,DataDetails,ProjectDetailModal,stat_active_days,"活跃天数",,active
dashboard.projects.detail.stat_avg_day,ui,DataDetails,ProjectDetailModal,stat_avg_day,"日均（活跃日）",,active
dashboard.projects.detail.stat_cache_hit,ui,DataDetails,ProjectDetailModal,stat_cache_hit,"缓存命中率",,active
dashboard.projects.detail.stat_share,ui,DataDetails,ProjectDetailModal,stat_share,"占总用量比例",,active
dashboard.projects.detail.section_trend,ui,DataDetails,ProjectDetailModal,section_trend,"每日活跃",,active
dashboard.projects.detail.section_composition,ui,DataDetails,ProjectDetailModal,section_composition,"Token 构成",,active
dashboard.projects.detail.section_sources,ui,DataDetails,ProjectDetailModal,section_sources,"按来源",,active
dashboard.projects.detail.comp_input,ui,DataDetails,ProjectDetailModal,comp_input,"输入",,active
dashboard.projects.detail.comp_cached,ui,DataDetails,ProjectDetailModal,comp_cached,"缓存读取",,active
dashboard.projects.detail.comp_cache_write,ui,DataDetails,ProjectDetailModal,comp_cache_write,"缓存写入",,active
dashboard.projects.detail.comp_output,ui,DataDetails,ProjectDetailModal,comp_output,"输出",,active
dashboard.projects.detail.comp_reasoning,ui,DataDetails,ProjectDetailModal,comp_reasoning,"推理",,active
dashboard.projects.detail.source_days,ui,DataDetails,ProjectDetailModal,source_days,"{{n}} 天",,active
dashboard.projects.detail.source_conv,ui,DataDetails,ProjectDetailModal,source_conv,"{{n}} 次对话",,active
dashboard.cost_breakdown.title,ui,CostAnalysisModal,CostAnalysisModal,title,"成本明细",,active
dashboard.cost_breakdown.total_label,ui,CostAnalysisModal,CostAnalysisModal,total_label,"预计总成本",,active
dashboard.cost_breakdown.close,ui,CostAnalysisModal,CostAnalysisModal,close_label,"关闭",,active
trend.monitor.label,ui,TrendMonitor,TrendMonitor,label,"使用趋势",,active
trend.monitor.predicted,ui,TrendMonitor,TrendMonitor,predicted_label,"预测值",,active
trend.zoom.open_aria,ui,TrendMonitor,TrendMonitor,zoom_open_aria,"展开全屏",,active
trend.zoom.close_aria,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_close_aria,"关闭",,active
trend.zoom.badge,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_badge,"趋势洞察",,active
trend.zoom.desc,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_desc,"悬停任意柱子查看 token、成本与对话数。切换粒度可从月份下钻到半小时。",,active
trend.zoom.insight_badge,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_badge,"洞察",,active
trend.zoom.tooltip.cost,ui,TrendMonitor,TrendMonitor,zoom_tooltip_cost,"成本",,active
trend.zoom.tooltip.conversations,ui,TrendMonitor,TrendMonitor,zoom_tooltip_conversations,"对话",,active
trend.zoom.stats.tokens,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_tokens,"Token 总量",,active
trend.zoom.stats.cost,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_cost,"总成本",,active
trend.zoom.stats.conversations,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_conversations,"对话数",,active
trend.zoom.stats.peak,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_stats_peak,"峰值时段",,active
trend.zoom.gran.aria,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_aria,"粒度",,active
trend.zoom.gran.30min,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_30min,"30 分钟",,active
trend.zoom.gran.day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_day,"天",,active
trend.zoom.gran.month,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_gran_month,"月",,active
trend.zoom.prev_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_prev_day,"前一天",,active
trend.zoom.next_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_next_day,"后一天",,active
trend.zoom.loading,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_loading,"加载中…",,active
trend.zoom.pick_day,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_pick_day,"选择日期",,active
trend.zoom.pick_range,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_pick_range,"选择日期范围",,active
trend.zoom.insight.empty,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_empty,"一段安静的时光，没有一个 token 流过。",,active
trend.zoom.insight.calm,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_calm,"轻描淡写。模型大多在待命，只在你需要时才醒来搭把手。",,active
trend.zoom.insight.steady,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_steady,"{{active}} 个活跃时段里节奏平稳，峰值 {{peak}}。是那种不声不响就把事情交付掉的节奏。",,active
trend.zoom.insight.heavy,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_heavy,"火力全开：{{active}} 个时段持续高热，峰值冲到 {{peak}}。这是自己制造势能、而非等待灵感的人的产出。",,active
trend.zoom.insight.massive,ui,TrendMonitorZoomModal,TrendMonitorZoomModal,zoom_insight_massive,"工业级别。{{peak}} 的峰值，吞吐从不降温。到这个量级，你已经不是在用模型，而是在运营一座工厂。",,active
heatmap.title,ui,ActivityHeatmap,ActivityHeatmap,title,"热力图",,active
heatmap.empty,ui,ActivityHeatmap,ActivityHeatmap,empty_state,"尚无活动数据。",,active
heatmap.legend.less,ui,ActivityHeatmap,ActivityHeatmap,legend_less,"少",,active
heatmap.legend.more,ui,ActivityHeatmap,ActivityHeatmap,legend_more,"多",,active
heatmap.legend.utc,ui,ActivityHeatmap,ActivityHeatmap,legend_utc,"UTC",,active
heatmap.tooltip,ui,ActivityHeatmap,ActivityHeatmap,tooltip,"{{day}} • {{value}} {{unit}} • {{tz}}",,active
heatmap.unit.tokens,ui,ActivityHeatmap,ActivityHeatmap,unit_tokens,"Token",,active
heatmap.iso.aria,ui,ActivityHeatmap,ActivityHeatmap3D,iso_aria,"三维等距活跃热力图",,active
heatmap.view.2d,ui,ActivityHeatmap,ActivityHeatmap,view_2d,"2D",,active
heatmap.view.3d,ui,ActivityHeatmap,ActivityHeatmap,view_3d,"3D",,active
heatmap.month.jan,ui,ActivityHeatmap,ActivityHeatmap,month_label,"1月",,active
heatmap.month.feb,ui,ActivityHeatmap,ActivityHeatmap,month_label,"2月",,active
heatmap.month.mar,ui,ActivityHeatmap,ActivityHeatmap,month_label,"3月",,active
heatmap.month.apr,ui,ActivityHeatmap,ActivityHeatmap,month_label,"4月",,active
heatmap.month.may,ui,ActivityHeatmap,ActivityHeatmap,month_label,"5月",,active
heatmap.month.jun,ui,ActivityHeatmap,ActivityHeatmap,month_label,"6月",,active
heatmap.month.jul,ui,ActivityHeatmap,ActivityHeatmap,month_label,"7月",,active
heatmap.month.aug,ui,ActivityHeatmap,ActivityHeatmap,month_label,"8月",,active
heatmap.month.sep,ui,ActivityHeatmap,ActivityHeatmap,month_label,"9月",,active
heatmap.month.oct,ui,ActivityHeatmap,ActivityHeatmap,month_label,"10月",,active
heatmap.month.nov,ui,ActivityHeatmap,ActivityHeatmap,month_label,"11月",,active
heatmap.month.dec,ui,ActivityHeatmap,ActivityHeatmap,month_label,"12月",,active
heatmap.day.sun,ui,ActivityHeatmap,ActivityHeatmap,day_label,"日",,active
heatmap.day.mon,ui,ActivityHeatmap,ActivityHeatmap,day_label,"一",,active
heatmap.day.tue,ui,ActivityHeatmap,ActivityHeatmap,day_label,"二",,active
heatmap.day.wed,ui,ActivityHeatmap,ActivityHeatmap,day_label,"三",,active
heatmap.day.thu,ui,ActivityHeatmap,ActivityHeatmap,day_label,"四",,active
heatmap.day.fri,ui,ActivityHeatmap,ActivityHeatmap,day_label,"五",,active
heatmap.day.sat,ui,ActivityHeatmap,ActivityHeatmap,day_label,"六",,active
daily.sort.date.label,dashboard,DashboardPage,DailyTable,sort_label,"日期",,active
daily.sort.date.title,dashboard,DashboardPage,DailyTable,sort_title,"按日期排序",,active
daily.sort.total.label,dashboard,DashboardPage,DailyTable,sort_label,"总计",,active
daily.sort.total.title,dashboard,DashboardPage,DailyTable,sort_title,"按总计排序",,active
daily.sort.input.label,dashboard,DashboardPage,DailyTable,sort_label,"输入",,active
daily.sort.input.title,dashboard,DashboardPage,DailyTable,sort_title,"按输入排序",,active
daily.sort.output.label,dashboard,DashboardPage,DailyTable,sort_label,"输出",,active
daily.sort.output.title,dashboard,DashboardPage,DailyTable,sort_title,"按输出排序",,active
daily.sort.cached.label,dashboard,DashboardPage,DailyTable,sort_label,"缓存",,active
daily.sort.cached.title,dashboard,DashboardPage,DailyTable,sort_title,"按缓存输入排序",,active
daily.sort.reasoning.label,dashboard,DashboardPage,DailyTable,sort_label,"推理",,active
daily.sort.reasoning.title,dashboard,DashboardPage,DailyTable,sort_title,"按推理输出排序",,active
daily.sort.conversations.label,dashboard,DashboardPage,DailyTable,sort_label,"对话数",,active
daily.sort.conversations.title,dashboard,DashboardPage,DailyTable,sort_title,"按对话排序",,active
details.pagination.prev,dashboard,DashboardPage,DailyTable,pagination_prev,"上一页",,active
details.pagination.next,dashboard,DashboardPage,DailyTable,pagination_next,"下一页",,active
limits.copilot.otelHint.title,dashboard,LimitsPage,LimitsPage,otel_hint_title,"跟踪 Copilot Token 使用情况",,active
limits.copilot.otelHint.body,dashboard,LimitsPage,LimitsPage,otel_hint_body,"限额信息通过你的 GitHub OAuth 令牌读取。如果还想记录逐 Token 用量，请启用 Copilot 的 OpenTelemetry 导出，把下面这段加到你的 shell 配置文件（~/.zshrc 或 ~/.bashrc）：",,active
limits.copilot.otelHint.copy,dashboard,LimitsPage,LimitsPage,otel_hint_copy,"复制",,active
limits.copilot.otelHint.copied,dashboard,LimitsPage,LimitsPage,otel_hint_copied,"已复制",,active
dashboard.install.prompt,dashboard,DashboardPage,AsciiBox,install_prompt,"安装 Node.js 18+ 然后运行：",,active
dashboard.install.cmd.init,dashboard,DashboardPage,AsciiBox,install_cmd,"npx --yes tokentracker-cli init",,active
dashboard.install.copy,dashboard,DashboardPage,AsciiBox,install_copy,"复制安装命令",,active
dashboard.install.copy_base,dashboard,DashboardPage,AsciiBox,install_copy,"复制初始化命令",,active
dashboard.install.copied,dashboard,DashboardPage,AsciiBox,install_copy,"已复制到剪贴板",,active
dashboard.install.cmd.sync,dashboard,DashboardPage,AsciiBox,install_cmd,"npx --yes tokentracker-cli sync",,active
dashboard.daily.title,dashboard,DashboardPage,AsciiBox,title,"每日细目",,active
dashboard.daily.empty,dashboard,DashboardPage,AsciiBox,empty_state,"还没有数据。先使用 AI CLI，再运行 {{cmd}}。",,active
dashboard.identity.title,dashboard,DashboardPage,IdentityCard,title,"你的个人资料",,active
dashboard.identity.subtitle,dashboard,DashboardPage,IdentityCard,subtitle,"记录你的编码之旅",,active
dashboard.identity.fallback,dashboard,DashboardPage,IdentityCard,handle_fallback,"匿名用户",,active
dashboard.overview.layout.drag_handle,dashboard,DashboardPage,SortableCard,drag_handle_aria_label,"拖拽以重新排列",,active
dashboard.screenshot.twitter_text,dashboard,DashboardPage,ScreenshotShare,share_text,"记录中的 {{total_tokens}} Token。\n{{model_name}} 以 {{model_percent}}% 领先。\n\n我的 AI 使用情况，未经审计 →",,active
nav.usage,shared,*,Sidebar,nav_usage,"用量",,active
nav.limits,shared,*,Sidebar,nav_limits,"限额",,active
nav.collapse,shared,*,Sidebar,nav_collapse,"折叠侧边栏",,active
nav.expand,shared,*,Sidebar,nav_expand,"展开侧边栏",,active
nav.menu,shared,*,Sidebar,nav_menu,"打开导航菜单",,active
nav.close_menu,shared,*,Sidebar,nav_close_menu,"关闭导航菜单",,active
nav.aside_label,shared,*,Sidebar,aside_label,"主导航",,active
nav.nav_label,shared,*,Sidebar,nav_label,"导航",,active
limits.page.subtitle,ui,LimitsPage,LimitsPage,subtitle,"AI 工具的速率限制和配额使用情况。",,active
limits.settings.toggle_visible,ui,LimitsPage,LimitsSettingsPanel,toggle_visible,"切换可见性",,active
limits.settings.display_mode_label,ui,LimitsPage,LimitsSettingsPanel,display_mode_label,"用量显示",,active
limits.settings.display_mode_used,ui,LimitsPage,LimitsSettingsPanel,display_mode_used,"已用",,active
limits.settings.display_mode_remaining,ui,LimitsPage,LimitsSettingsPanel,display_mode_remaining,"剩余",,active
limits.page.openSettings,ui,LimitsPage,LimitsPage,open_settings,"显示设置",,active
shared.dialog.close,shared,*,Dialog,close,"关闭对话框",,active
nav.group.general,shared,*,Sidebar,group_general,"常规",,active
nav.group.tools,shared,*,Sidebar,group_tools,"工具",,active
nav.settings,shared,*,Sidebar,nav_settings,"设置",,active
settings.page.title,ui,SettingsPage,SettingsPage,title,"设置",,active
settings.page.subtitle,ui,SettingsPage,SettingsPage,subtitle,"管理你的账户、外观和显示偏好。",,active
settings.section.appearance,ui,SettingsPage,SettingsPage,sec_appearance,"外观",,active
settings.section.limits,ui,SettingsPage,SettingsPage,sec_limits,"限额显示",,active
settings.section.network,ui,SettingsPage,NetworkSection,sec_network,"网络",,active
settings.network.mode.label,ui,SettingsPage,NetworkSection,mode_label,"出网代理",,active
settings.network.mode.hint,ui,SettingsPage,NetworkSection,mode_hint,"选择查询 Provider 用量时使用的网络代理。",,active
settings.network.mode.system,ui,SettingsPage,NetworkSection,mode_system,"系统",,active
settings.network.mode.manual,ui,SettingsPage,NetworkSection,mode_manual,"手动",,active
settings.network.mode.off,ui,SettingsPage,NetworkSection,mode_off,"关闭",,active
settings.network.protocol.label,ui,SettingsPage,NetworkSection,protocol_label,"协议",,active
settings.network.protocol.http,ui,SettingsPage,NetworkSection,protocol_http,"HTTP 代理",,active
settings.network.protocol.https,ui,SettingsPage,NetworkSection,protocol_https,"HTTPS 代理",,active
settings.network.protocol.socks5,ui,SettingsPage,NetworkSection,protocol_socks5,"SOCKS5 代理",,active
settings.network.host.label,ui,SettingsPage,NetworkSection,host_label,"主机",,active
settings.network.host.placeholder,ui,SettingsPage,NetworkSection,host_placeholder,"127.0.0.1",,active
settings.network.port.label,ui,SettingsPage,NetworkSection,port_label,"端口",,active
settings.network.port.placeholder,ui,SettingsPage,NetworkSection,port_placeholder,"7890",,active
settings.network.test,ui,SettingsPage,NetworkSection,test,"测试连接",,active
settings.network.test.testing,ui,SettingsPage,NetworkSection,test_testing,"正在测试…",,active
settings.network.test.ok,ui,SettingsPage,NetworkSection,test_ok,"已到达测试地址（HTTP {{status}}）。",,active
settings.network.test.fail,ui,SettingsPage,NetworkSection,test_fail,"无法连接：{{error}}",,active
settings.network.save,ui,SettingsPage,NetworkSection,save,"保存",,active
settings.network.saving,ui,SettingsPage,NetworkSection,saving,"正在保存…",,active
settings.network.saved,ui,SettingsPage,NetworkSection,saved,"代理设置已保存。",,active
settings.network.error.host,ui,SettingsPage,NetworkSection,error_host,"请填写主机，不要带 http:// 或路径。",,active
settings.network.error.port,ui,SettingsPage,NetworkSection,error_port,"请填写 1 到 65535 之间的端口。",,active
settings.network.effective.manual,ui,SettingsPage,NetworkSection,effective_manual,"当前正在使用手动代理。",,active
settings.network.effective.env,ui,SettingsPage,NetworkSection,effective_env,"当前正在使用环境变量中的代理。",,active
settings.network.effective.system,ui,SettingsPage,NetworkSection,effective_system,"当前正在使用系统代理。",,active
settings.network.effective.none,ui,SettingsPage,NetworkSection,effective_none,"当前为直连。",,active
settings.network.effective.blocked,ui,SettingsPage,NetworkSection,effective_blocked,"出网已被阻断：手动代理未能生效。",,active
settings.network.apply_error,ui,SettingsPage,NetworkSection,apply_error,"已保存的代理未能生效：{{error}}。代理未生效，出网已被阻断，请检查代理设置。",,active
settings.network.save_error,ui,SettingsPage,NetworkSection,save_error,"无法保存代理设置：{{error}}",,active
settings.network.save_error_unprotected,ui,SettingsPage,NetworkSection,save_error_unprotected,"无法保存代理设置：{{error}}。出网当前处于无保护状态——连阻断都失败了。",,active
settings.limits.providers,ui,SettingsPage,SettingsPage,limits_providers,"Provider",,active
settings.limits.showSubscriptions,ui,SettingsPage,SettingsPage,show_subscriptions,"显示订阅",,active
settings.limits.showSubscriptionsHint,ui,SettingsPage,SettingsPage,show_subscriptions_hint,"在限额面板中显示手动记录的订阅续费进度。",,active
settings.labs.qpd.label,ui,SettingsPage,LabsSection,qpd_label,"PR 研发性价比分析",,active
settings.labs.qpd.hint,ui,SettingsPage,LabsSection,qpd_hint,"基于已合并 PR 与 AI 归因提交，分析各模型的平均交付成本与有效 Token。",,active
settings.labs.qpd.aria,ui,SettingsPage,LabsSection,qpd_aria,"切换 PR 性价比分析",,active
